actor_id,revenue,revenue_year,employees,sector,market_index
OC_ACTOR_10246,,2019.0,,,NULL
OC_ACTOR_10247,,2015.0,,,NULL
OC_ACTOR_10248,,,,,NULL
OC_ACTOR_10249,,2020.0,,,NULL
OC_ACTOR_10250,,2015.0,,,NULL
OC_ACTOR_10251,,2020.0,,,NULL
OC_ACTOR_10252,,2020.0,,,NULL
OC_ACTOR_10253,,2020.0,,,NULL
OC_ACTOR_10254,,2021.0,,,NULL
OC_ACTOR_10255,,2021.0,,,NULL
OC_ACTOR_10256,,2020.0,,,NULL
OC_ACTOR_10257,,2020.0,,,NULL
OC_ACTOR_10258,,2020.0,,,NULL
OC_ACTOR_10259,,2020.0,,,NULL
OC_ACTOR_10260,,,,,NULL
OC_ACTOR_10261,,2020.0,,,NULL
OC_ACTOR_10262,,2021.0,,,NULL
OC_ACTOR_10263,,2020.0,,,NULL
OC_ACTOR_10264,,2021.0,,,NULL
OC_ACTOR_10265,,2020.0,,,NULL
OC_ACTOR_10266,,2021.0,,,NULL
OC_ACTOR_10267,,2020.0,,,NULL
OC_ACTOR_10268,,2020.0,,,NULL
OC_ACTOR_10269,,2021.0,,,NULL
OC_ACTOR_10270,,2021.0,,,NULL
OC_ACTOR_10271,,2020.0,,,NULL
OC_ACTOR_10272,,2019.0,,,NULL
OC_ACTOR_10273,,2020.0,,,NULL
OC_ACTOR_10274,,2021.0,,,NULL
OC_ACTOR_10275,,2020.0,,,NULL
OC_ACTOR_10276,,2020.0,,,NULL
OC_ACTOR_10277,,2020.0,,,NULL
OC_ACTOR_10278,,2020.0,,,NULL
OC_ACTOR_10279,,2020.0,,,NULL
OC_ACTOR_10280,,2019.0,,,NULL
OC_ACTOR_10281,,2020.0,,,NULL
OC_ACTOR_10282,,,,,NULL
OC_ACTOR_10283,,2020.0,,,NULL
OC_ACTOR_10284,,2021.0,,,NULL
OC_ACTOR_10285,,2020.0,,,NULL
OC_ACTOR_10286,,,,,NULL
OC_ACTOR_10287,,2020.0,,,NULL
OC_ACTOR_10288,,2021.0,,,NULL
OC_ACTOR_10289,,2020.0,,,NULL
OC_ACTOR_10290,,2020.0,,,NULL
OC_ACTOR_10291,,2020.0,,,NULL
OC_ACTOR_10292,,,,,NULL
OC_ACTOR_10293,,2020.0,,,NULL
OC_ACTOR_10294,,2020.0,,,NULL
OC_ACTOR_10295,,2021.0,,,NULL
OC_ACTOR_10296,,2020.0,,,NULL
OC_ACTOR_10297,,2020.0,,,NULL
OC_ACTOR_10298,,2019.0,,,NULL
OC_ACTOR_10299,,2020.0,,,NULL
OC_ACTOR_10300,,,,,NULL
OC_ACTOR_10301,,,,,NULL
OC_ACTOR_10302,,2021.0,,,NULL
OC_ACTOR_10303,,,,,NULL
OC_ACTOR_10304,,2020.0,,,NULL
OC_ACTOR_10305,,2020.0,,,NULL
OC_ACTOR_10306,,2020.0,,,NULL
OC_ACTOR_10307,,,,,NULL
OC_ACTOR_10308,,2014.0,,,NULL
OC_ACTOR_10309,,2020.0,,,NULL
OC_ACTOR_10310,,2020.0,,,NULL
OC_ACTOR_10311,,2018.0,,,NULL
OC_ACTOR_10312,,,,,NULL
OC_ACTOR_10313,,2020.0,,,NULL
OC_ACTOR_10314,,2020.0,,,NULL
OC_ACTOR_10315,,2020.0,,,NULL
OC_ACTOR_10316,,2021.0,,,NULL
OC_ACTOR_10317,,2020.0,,,NULL
OC_ACTOR_10318,,2020.0,,,NULL
OC_ACTOR_10319,,2021.0,,,NULL
OC_ACTOR_10320,,2020.0,,,NULL
OC_ACTOR_10321,,2021.0,,,NULL
OC_ACTOR_10322,,2020.0,,,NULL
OC_ACTOR_10323,,2021.0,,,NULL
OC_ACTOR_10324,,2020.0,,,NULL
OC_ACTOR_10325,,2020.0,,,NULL
OC_ACTOR_10326,,2020.0,,,NULL
OC_ACTOR_10327,,2021.0,,,NULL
OC_ACTOR_10328,,2020.0,,,NULL
OC_ACTOR_10329,,2021.0,,,NULL
OC_ACTOR_10330,,,,,NULL
OC_ACTOR_10331,,2021.0,,,NULL
OC_ACTOR_10332,,2021.0,,,NULL
OC_ACTOR_10333,,2017.0,,,NULL
OC_ACTOR_10334,,2019.0,,,NULL
OC_ACTOR_10335,,2019.0,,,NULL
OC_ACTOR_10336,,2021.0,,,NULL
OC_ACTOR_10337,,2021.0,,,NULL
OC_ACTOR_10338,,2021.0,,,NULL
OC_ACTOR_10339,,,,,NULL
OC_ACTOR_10340,,,,,NULL
OC_ACTOR_10341,,2020.0,,,NULL
OC_ACTOR_10342,,2020.0,,,NULL
OC_ACTOR_10343,,2016.0,,,NULL
OC_ACTOR_10344,,2022.0,,,NULL
OC_ACTOR_10345,,2021.0,,,NULL
OC_ACTOR_10346,,2020.0,,,NULL
OC_ACTOR_10347,,,,,NULL
OC_ACTOR_10348,,,,,NULL
OC_ACTOR_10349,,2017.0,,,NULL
OC_ACTOR_10350,,2021.0,,,NULL
OC_ACTOR_10351,,2021.0,,,NULL
OC_ACTOR_10352,,2018.0,,,NULL
OC_ACTOR_10353,,2020.0,,,NULL
OC_ACTOR_10354,,,,,NULL
OC_ACTOR_10355,,2021.0,,,NULL
OC_ACTOR_10356,,2021.0,,,NULL
OC_ACTOR_10357,,,,,NULL
OC_ACTOR_10358,,2021.0,,,NULL
OC_ACTOR_10359,,2021.0,,,NULL
OC_ACTOR_10360,,,,,NULL
OC_ACTOR_10361,,2020.0,,,NULL
OC_ACTOR_10362,,2020.0,,,NULL
OC_ACTOR_10363,,2015.0,,,NULL
OC_ACTOR_10364,,2021.0,,,NULL
OC_ACTOR_10365,,,,,NULL
OC_ACTOR_10366,,2015.0,,,NULL
OC_ACTOR_10367,,2021.0,,,NULL
OC_ACTOR_10368,,2021.0,,,NULL
OC_ACTOR_10369,,2021.0,,,NULL
OC_ACTOR_10370,,2021.0,,,NULL
OC_ACTOR_10371,,2021.0,,,NULL
OC_ACTOR_10372,,2019.0,,,NULL
OC_ACTOR_10373,,2021.0,,,NULL
OC_ACTOR_10374,,2021.0,,,NULL
OC_ACTOR_10375,,2019.0,,,NULL
OC_ACTOR_10376,,,,,NULL
OC_ACTOR_10377,,2021.0,,,NULL
OC_ACTOR_10378,,2021.0,,,NULL
OC_ACTOR_10379,,,,,NULL
OC_ACTOR_10380,,2019.0,,,NULL
OC_ACTOR_10381,,,,,NULL
OC_ACTOR_10382,,2021.0,,,NULL
OC_ACTOR_10383,,2021.0,,,NULL
OC_ACTOR_10384,,,,,NULL
OC_ACTOR_10385,,2021.0,,,NULL
OC_ACTOR_10386,,2021.0,,,NULL
OC_ACTOR_10387,,2019.0,,,NULL
OC_ACTOR_10388,,,,,NULL
OC_ACTOR_10389,,2015.0,,,NULL
OC_ACTOR_10390,,2019.0,,,NULL
OC_ACTOR_10391,,2017.0,,,NULL
OC_ACTOR_10392,,2021.0,,,NULL
OC_ACTOR_10393,,,,,NULL
OC_ACTOR_10394,,2021.0,,,NULL
OC_ACTOR_10395,,2021.0,,,NULL
OC_ACTOR_10396,,2015.0,,,NULL
OC_ACTOR_10397,,,,,NULL
OC_ACTOR_10398,,2021.0,,,NULL
OC_ACTOR_10399,,2019.0,,,NULL
OC_ACTOR_10400,,,,,NULL
OC_ACTOR_10401,,2021.0,,,NULL
OC_ACTOR_10402,,2015.0,,,NULL
OC_ACTOR_10403,,2021.0,,,NULL
OC_ACTOR_10404,,,,,NULL
OC_ACTOR_10405,,2020.0,,,NULL
OC_ACTOR_10406,,2019.0,,,NULL
OC_ACTOR_10407,,2020.0,,,NULL
OC_ACTOR_10408,,2020.0,,,NULL
OC_ACTOR_10409,,2020.0,,,NULL
OC_ACTOR_10410,,2019.0,,,NULL
OC_ACTOR_10411,,2019.0,,,NULL
OC_ACTOR_10412,,2020.0,,,NULL
OC_ACTOR_10413,,2018.0,,,NULL
OC_ACTOR_10414,,2021.0,,,NULL
OC_ACTOR_10415,,2020.0,,,NULL
OC_ACTOR_10416,,2018.0,,,NULL
OC_ACTOR_10417,,2020.0,,,NULL
OC_ACTOR_10418,,2020.0,,,NULL
OC_ACTOR_10419,,2020.0,,,NULL
OC_ACTOR_10420,,2020.0,,,NULL
OC_ACTOR_10421,,2019.0,,,NULL
OC_ACTOR_10422,,2020.0,,,NULL
OC_ACTOR_10423,,2020.0,,,NULL
OC_ACTOR_10424,,2020.0,,,NULL
OC_ACTOR_10425,,2021.0,,,NULL
OC_ACTOR_10426,,2020.0,,,NULL
OC_ACTOR_10427,,2020.0,,,NULL
OC_ACTOR_10428,,2015.0,,,NULL
OC_ACTOR_10429,,2020.0,,,NULL
OC_ACTOR_10430,,2020.0,,,NULL
OC_ACTOR_10431,,2020.0,,,NULL
OC_ACTOR_10432,,2018.0,,,NULL
OC_ACTOR_10433,,2020.0,,,NULL
OC_ACTOR_10434,,2020.0,,,NULL
OC_ACTOR_10435,,,,,NULL
OC_ACTOR_10436,,2012.0,,,NULL
OC_ACTOR_10437,,,,,NULL
OC_ACTOR_10438,,2014.0,,,NULL
OC_ACTOR_10439,,,,,NULL
OC_ACTOR_10440,,2020.0,,,NULL
OC_ACTOR_10441,,2017.0,,,NULL
OC_ACTOR_10442,,2020.0,,,NULL
OC_ACTOR_10443,,2021.0,,,NULL
OC_ACTOR_10444,,2021.0,,,NULL
OC_ACTOR_10445,,2020.0,,,NULL
OC_ACTOR_10446,,2020.0,,,NULL
OC_ACTOR_10447,,2021.0,,,NULL
OC_ACTOR_10448,,2021.0,,,NULL
OC_ACTOR_10449,,2021.0,,,NULL
OC_ACTOR_10450,,2020.0,,,NULL
OC_ACTOR_10451,,2021.0,,,NULL
OC_ACTOR_10452,,2020.0,,,NULL
OC_ACTOR_10453,,2020.0,,,NULL
OC_ACTOR_10454,,2020.0,,,NULL
OC_ACTOR_10455,,2020.0,,,NULL
OC_ACTOR_10456,,2020.0,,,NULL
OC_ACTOR_10457,,,,,NULL
OC_ACTOR_10458,,2021.0,,,NULL
OC_ACTOR_10459,,2021.0,,,NULL
OC_ACTOR_10460,,2021.0,,,NULL
OC_ACTOR_10461,,2021.0,,,NULL
OC_ACTOR_10462,,2021.0,,,NULL
OC_ACTOR_10463,,2020.0,,,NULL
OC_ACTOR_10464,,2021.0,,,NULL
OC_ACTOR_10465,,2020.0,,,NULL
OC_ACTOR_10466,,2020.0,,,NULL
OC_ACTOR_10467,,2020.0,,,NULL
OC_ACTOR_10468,,,,,NULL
OC_ACTOR_10469,,2020.0,,,NULL
OC_ACTOR_10470,,2020.0,,,NULL
OC_ACTOR_10471,,2020.0,,,NULL
OC_ACTOR_10472,,2020.0,,,NULL
OC_ACTOR_10473,,2020.0,,,NULL
OC_ACTOR_10474,,2020.0,,,NULL
OC_ACTOR_10475,,2022.0,,,NULL
OC_ACTOR_10476,,2021.0,,,NULL
OC_ACTOR_10477,,2017.0,,,NULL
OC_ACTOR_10478,,2016.0,,,NULL
OC_ACTOR_10479,,,,,NULL
OC_ACTOR_10480,,,,,NULL
OC_ACTOR_10481,,,,,NULL
OC_ACTOR_10482,,,,,NULL
OC_ACTOR_10483,,,,,NULL
OC_ACTOR_10484,,,,,NULL
OC_ACTOR_10485,,2016.0,,,NULL
OC_ACTOR_10486,,2007.0,,,NULL
OC_ACTOR_10487,,,,,NULL
OC_ACTOR_10488,,2019.0,,,NULL
OC_ACTOR_10489,,,,,NULL
OC_ACTOR_10490,,,,,NULL
OC_ACTOR_10491,,,,,NULL
OC_ACTOR_10492,,,,,NULL
OC_ACTOR_10493,,2020.0,,,NULL
OC_ACTOR_10494,,,,,NULL
OC_ACTOR_10495,,,,,NULL
OC_ACTOR_10496,,,,,NULL
OC_ACTOR_10497,,,,,NULL
OC_ACTOR_10498,,,,,NULL
OC_ACTOR_10499,,2018.0,,,NULL
OC_ACTOR_10500,,2019.0,,,NULL
OC_ACTOR_10501,,,,,NULL
OC_ACTOR_10502,,2021.0,,,NULL
OC_ACTOR_10503,,,,,NULL
OC_ACTOR_10504,,,,,NULL
OC_ACTOR_10505,,2020.0,,,NULL
OC_ACTOR_10506,,,,,NULL
OC_ACTOR_10507,,,,,NULL
OC_ACTOR_10508,,,,,NULL
OC_ACTOR_10509,,,,,NULL
OC_ACTOR_10510,,,,,NULL
OC_ACTOR_10511,,2020.0,,,NULL
OC_ACTOR_10512,,2020.0,,,NULL
OC_ACTOR_10513,,,,,NULL
OC_ACTOR_10514,,,,,NULL
OC_ACTOR_10515,,,,,NULL
OC_ACTOR_10516,,,,,NULL
OC_ACTOR_10517,,2019.0,,,NULL
OC_ACTOR_10518,,,,,NULL
OC_ACTOR_10519,,,,,NULL
OC_ACTOR_10520,,2020.0,,,NULL
OC_ACTOR_10521,,,,,NULL
OC_ACTOR_10522,,2012.0,,,NULL
OC_ACTOR_10523,,2011.0,,,NULL
OC_ACTOR_10524,,2015.0,,,NULL
OC_ACTOR_10525,,,,,NULL
OC_ACTOR_10526,,2021.0,,,NULL
OC_ACTOR_10527,,,,,NULL
OC_ACTOR_10528,,,,,NULL
OC_ACTOR_10529,,,,,NULL
OC_ACTOR_10530,,,,,NULL
OC_ACTOR_10531,,,,,NULL
OC_ACTOR_10532,,,,,NULL
OC_ACTOR_10533,,2021.0,,,NULL
OC_ACTOR_10534,,,,,NULL
OC_ACTOR_10535,,,,,NULL
OC_ACTOR_10536,,,,,NULL
OC_ACTOR_10537,,,,,NULL
OC_ACTOR_10538,,,,,NULL
OC_ACTOR_10539,,,,,NULL
OC_ACTOR_10540,,,,,NULL
OC_ACTOR_10541,,2019.0,,,NULL
OC_ACTOR_10542,,,,,NULL
OC_ACTOR_10543,,,,,NULL
OC_ACTOR_10544,,,,,NULL
OC_ACTOR_10545,,2017.0,,,NULL
OC_ACTOR_10546,,2013.0,,,NULL
OC_ACTOR_10547,,,,,NULL
OC_ACTOR_10548,,,,,NULL
OC_ACTOR_10549,,,,,NULL
OC_ACTOR_10550,,,,,NULL
OC_ACTOR_10551,,,,,NULL
OC_ACTOR_10552,,,,,NULL
OC_ACTOR_10553,,,,,NULL
OC_ACTOR_10554,,,,,NULL
OC_ACTOR_10555,,,,,NULL
OC_ACTOR_10556,,,,,NULL
OC_ACTOR_10557,,,,,NULL
OC_ACTOR_10558,,,,,NULL
OC_ACTOR_10559,,,,,NULL
OC_ACTOR_10560,,,,,NULL
OC_ACTOR_10561,,,,,NULL
OC_ACTOR_10562,,,,,NULL
OC_ACTOR_10563,,,,,NULL
OC_ACTOR_10564,,,,,NULL
OC_ACTOR_10565,,,,,NULL
OC_ACTOR_10566,,,,,NULL
